,CPU,GHz,GPU,RAM,RAMType,Screen,Storage,SSD,Weight,Price
133,i5,1.6,intel,8,ddr3,12.5,500,False,1.4,263
134,i5,1.6,intel,8,ddr3,12.5,500,False,1.4,284
135,i5,2.2,intel,8,ddr3,15.6,128,True,1.8,474
136,i5,2.3,intel,8,ddr4,14.0,128,True,1.5,390
137,i5,2.3,intel,8,ddr4,14.0,256,True,1.5,421
138,i5,2.3,intel,8,ddr4,14.0,180,True,1.5,453
139,i3,1.9,intel,8,ddr3,14.0,128,True,1.6,253
140,i3,1.9,intel,8,ddr3,14.0,128,True,1.6,253
141,i5,2.7,intel,8,ddr3,13.3,256,True,1.6,843
142,i5,2.7,intel,8,ddr3,13.3,256,True,1.6,769
143,i5,1.6,intel,8,ddr3,13.3,128,True,1.4,474
144,i5,1.6,intel,4,ddr3,13.3,128,True,1.4,569
145,i5,1.6,intel,4,ddr3,13.3,128,True,1.4,548
146,i5,1.6,intel,4,ddr3,13.3,128,True,1.4,558
147,i5,1.6,intel,4,ddr3,13.3,256,True,1.4,653
148,i5,1.6,intel,4,ddr3,13.3,256,True,1.4,611
149,i5,1.6,intel,8,ddr3,13.3,256,True,1.4,664
150,i5,1.6,intel,8,ddr3,13.3,256,True,1.4,685
151,i7,3.1,intel,16,ddr3,13.3,128,True,1.6,948
152,i5,2.5,intel,8,ddr3,13.3,750,False,2.0,485
153,a10,1.8,amd,4,ddr3,12.5,128,True,1.26,211
154,i5,2.3,intel,8,ddr3,14.0,128,True,1.6,358
155,a10,1.8,amd,4,ddr3,14.0,128,True,1.5,253
156,i5,2.4,intel,8,ddr4,12.5,128,True,1.3,390
157,i5,1.6,intel,8,ddr3,12.5,500,False,1.4,211
158,i5,1.6,intel,8,ddr3,14.0,180,True,1.78,336
159,i5,1.6,intel,8,ddr3,13.0,128,True,1.35,673
160,i7,2.3,intel,16,ddr3,15.0,500,True,2.02,904
161,i5,1.6,intel,4,ddr3,13.0,128,True,1.77,318
162,i7,2.6,intel,16,ddr4,12.0,256,True,1.18,789
163,m5,1.1,intel,8,ddr3,13.0,256,True,1.17,637
164,i5,2.0,geforce,8,ddr3,14.0,128,True,2.3,315
165,i5,1.9,intel,8,ddr3,14.0,256,True,2.3,291
166,i5,1.9,intel,8,ddr3,14.0,320,False,2.3,259
167,i5,2.3,intel,8,ddr3,14.0,128,True,1.96,357
168,i5,2.2,intel,8,ddr3,14.0,500,False,1.96,315
169,i5,1.6,intel,8,ddr3,15.0,500,False,2.4,336
170,i5,1.9,intel,8,ddr3,12.0,256,True,1.34,283
171,i5,2.3,intel,8,ddr3,12.0,128,True,1.34,336
172,i5,2.3,intel,8,ddr3,12.0,128,True,1.34,341
173,i5,2.3,intel,8,ddr3,12.0,256,True,1.34,399
174,i5,2.3,intel,8,ddr3,12.0,256,True,1.34,398
175,i5,2.4,intel,8,ddr3,12.0,256,True,1.38,485
176,i5,2.2,intel,8,ddr3,14.0,128,True,1.56,375
177,i5,2.2,intel,8,ddr3,14.0,128,True,1.56,341
178,i5,2.2,intel,8,ddr3,14.0,256,True,1.56,410
179,i5,2.2,intel,8,ddr3,14.0,256,True,1.56,409
180,i5,2.2,intel,8,ddr3,14.0,256,True,1.56,368
181,i5,2.2,intel,8,ddr3,14.0,256,True,1.56,375
182,i5,2.2,intel,8,ddr3,14.0,256,True,1.56,431
183,i5,2.2,intel,8,ddr3,14.0,256,True,1.56,432
184,i5,2.4,intel,8,ddr4,14.0,256,True,1.56,740
185,i5,2.4,intel,8,ddr4,14.0,256,True,1.56,621
186,i5,2.4,intel,8,ddr4,14.0,256,True,1.56,706
187,i7,2.7,firepro,16,ddr4,15.0,512,True,2.0,1000
188,i7,2.7,nvidia,16,ddr4,15.0,512,True,1.78,1253
189,i7,2.7,nvidia,16,ddr4,15.0,256,True,2.7,1116
190,i7,2.7,nvidia,16,ddr3,15.0,256,True,3.16,663
191,i7,2.7,nvidia,16,ddr3,15.0,256,True,3.16,715
192,i7,2.7,nvidia,32,ddr3,15.0,512,True,3.16,842
193,i7,2.7,nvidia,16,ddr4,15.0,512,True,2.75,1021
194,i3,2.5,intel,8,ddr3,14.0,128,True,1.7,252
195,i3,2.3,intel,8,ddr4,15.0,128,True,2.3,431
196,i3,2.3,intel,8,ddr4,15.0,128,True,2.3,410
197,i3,2.3,intel,8,ddr4,15.0,128,True,2.3,347
198,i3,2.4,intel,4,ddr3,13.0,500,False,1.7,199
199,i3,2.4,intel,4,ddr3,13.0,500,False,1.7,157
200,i5,2.5,intel,8,ddr3,13.0,128,True,1.7,273
201,i5,2.5,intel,8,ddr3,13.0,128,True,1.7,231
202,i5,2.5,intel,8,ddr3,13.0,128,True,1.7,238
203,i5,2.3,intel,8,ddr4,13.0,128,True,1.6,399
204,i5,2.3,intel,8,ddr4,13.0,128,True,1.6,395
205,i5,2.3,intel,8,ddr4,13.0,128,True,1.6,336
206,i5,2.3,intel,8,ddr4,13.0,128,True,1.6,338
207,i5,2.3,intel,8,ddr4,13.0,256,True,1.6,505
208,i5,2.3,intel,8,ddr4,13.0,256,True,1.6,508
209,i5,2.3,intel,8,ddr4,13.0,256,True,1.6,448
210,i5,2.3,intel,8,ddr4,13.0,256,True,1.6,485
211,i7,2.5,intel,8,ddr4,13.0,256,True,1.6,547
212,i7,2.5,intel,8,ddr4,13.0,256,True,1.6,542
213,i5,2.3,intel,8,ddr4,14.0,128,True,1.7,484
214,i5,2.3,intel,8,ddr4,14.0,128,True,1.7,452
215,i5,2.3,intel,8,ddr4,14.0,256,True,1.7,452
216,i7,2.3,intel,16,ddr3,15.0,256,True,1.9,494
217,i7,2.3,intel,16,ddr3,15.0,256,True,1.9,547
218,i5,2.6,intel,8,ddr3,13.0,128,True,1.66,231
219,i5,2.5,intel,4,ddr3,12.0,128,True,1.83,199
220,i5,2.5,intel,8,ddr3,12.0,128,True,1.83,227
221,i5,1.6,intel,8,ddr3,12.0,128,True,1.33,283
222,i5,1.6,intel,8,ddr3,12.0,256,True,1.33,315
223,i5,2.2,intel,8,ddr3,12.0,128,True,1.33,384
224,i5,2.2,intel,8,ddr3,12.0,256,True,1.33,410
225,i5,2.2,intel,8,ddr3,12.0,256,True,1.33,406
226,i7,2.4,intel,8,ddr3,12.0,128,True,1.33,399
227,i7,2.4,intel,8,ddr3,12.0,128,True,1.33,421
228,i7,2.4,intel,8,ddr3,12.0,256,True,1.33,455
229,i5,2.3,intel,16,ddr4,12.0,256,True,1.3,526
230,i5,2.3,intel,16,ddr4,12.0,256,True,1.3,535
231,i5,2.3,intel,8,ddr4,12.0,128,True,1.3,389
232,i5,2.3,intel,8,ddr4,12.0,128,True,1.3,368
233,i5,2.3,intel,8,ddr4,12.0,256,True,1.3,399
234,i5,2.3,intel,8,ddr4,12.0,256,True,1.3,398
235,i5,2.3,intel,8,ddr4,12.0,256,True,1.3,540
236,i5,2.3,intel,8,ddr4,12.0,256,True,1.3,473
237,i5,2.3,intel,8,ddr4,12.0,256,True,1.3,478
238,i5,2.3,intel,8,ddr4,12.0,256,True,1.3,452
239,i5,2.3,intel,8,ddr4,12.0,256,True,1.3,357
240,i5,2.3,intel,8,ddr4,12.0,256,True,1.3,375
241,i7,2.5,intel,8,ddr4,12.0,256,True,1.3,580
242,i7,2.5,intel,8,ddr4,12.0,256,True,1.3,614
243,i5,2.5,intel,8,ddr4,12.0,256,True,1.3,455
244,i7,2.7,intel,16,ddr4,12.0,512,True,1.3,737
245,i7,2.7,intel,16,ddr4,12.0,512,True,1.3,740
246,i7,2.7,intel,8,ddr4,12.0,256,True,1.3,640
247,i7,2.7,intel,8,ddr4,12.0,256,True,1.3,621
248,i5,1.6,radeon,8,ddr3,14.0,128,True,1.78,379
249,i5,1.6,radeon,8,ddr3,14.0,128,True,1.78,398
250,i5,1.6,radeon,8,ddr3,14.0,128,True,1.78,375
251,i5,1.6,intel,8,ddr3,14.0,128,True,1.78,389
252,i5,1.6,intel,8,ddr3,14.0,180,True,1.9,452
253,i5,1.6,intel,8,ddr3,14.0,256,True,1.78,378
254,i5,1.6,intel,8,ddr3,14.0,256,True,1.78,386
255,i7,2.1,intel,8,ddr3,14.0,128,True,1.78,420
256,i5,2.2,intel,8,ddr3,14.0,128,True,1.78,368
257,i5,2.2,intel,8,ddr3,14.0,128,True,1.78,420
258,i5,2.2,intel,8,ddr3,14.0,128,True,1.78,432
259,i5,2.2,intel,8,ddr3,14.0,128,True,1.78,357
260,i5,2.2,intel,8,ddr3,14.0,128,True,1.78,389
261,i5,2.2,intel,8,ddr3,14.0,128,True,1.78,359
262,i5,2.2,intel,8,ddr3,14.0,256,True,1.78,399
263,i5,2.2,intel,8,ddr3,14.0,256,True,1.78,399
264,i5,2.2,intel,8,ddr3,14.0,256,True,1.78,431
265,i7,2.6,intel,8,ddr3,14.0,128,True,1.78,420
266,i7,2.6,intel,8,ddr3,14.0,128,True,1.78,421
267,i7,2.6,intel,8,ddr3,14.0,128,True,1.78,442
268,i7,2.6,intel,8,ddr3,14.0,128,True,1.78,443
269,i5,2.3,intel,8,ddr4,14.0,128,True,1.7,480
270,i5,2.3,intel,8,ddr4,14.0,128,True,1.7,512
271,i5,2.3,intel,8,ddr4,14.0,128,True,1.7,431
272,i5,2.3,intel,8,ddr4,14.0,256,True,1.7,557
273,i5,2.3,intel,8,ddr4,14.0,256,True,1.7,505
274,i5,2.3,intel,8,ddr4,14.0,256,True,1.7,535
275,i5,2.3,intel,8,ddr4,14.0,256,True,1.7,473
276,i5,2.3,intel,8,ddr4,14.0,256,True,1.7,452
277,i5,2.3,intel,8,ddr4,14.0,256,True,1.7,455
278,i7,2.5,intel,8,ddr4,14.0,180,True,1.7,459
279,i7,2.5,intel,8,ddr4,14.0,180,True,1.7,489
280,i7,2.5,intel,8,ddr4,14.0,256,True,1.7,637
281,i5,2.5,intel,8,ddr4,14.0,256,True,1.7,789
282,i5,2.2,intel,8,ddr3,15.0,128,True,1.97,535
283,i5,2.2,intel,8,ddr3,15.0,128,True,1.97,484
284,i5,2.2,intel,8,ddr3,15.0,128,True,1.97,512
285,i5,2.3,intel,8,ddr4,15.0,128,True,1.9,640
286,i5,2.3,intel,8,ddr4,15.0,128,True,1.9,683
287,i5,2.3,intel,8,ddr4,15.0,128,True,1.9,620
288,i5,2.3,intel,8,ddr4,15.0,128,True,1.9,660
289,i5,2.3,intel,8,ddr4,15.0,256,True,1.9,740
290,i5,2.3,intel,8,ddr4,15.0,256,True,1.9,680
291,i5,2.3,intel,8,ddr4,15.0,256,True,1.9,717
292,i7,2.5,intel,8,ddr4,15.0,256,True,1.9,797
293,i7,2.5,intel,8,ddr4,15.0,256,True,1.9,715
294,i7,2.5,intel,8,ddr4,15.0,256,True,1.9,717
295,i5,2.2,intel,8,ddr3,14.0,256,True,1.63,455
296,i7,2.6,intel,8,ddr3,14.0,256,True,1.63,546
297,i5,2.3,intel,8,ddr4,14.0,128,True,1.54,540
298,i5,2.3,intel,8,ddr4,14.0,128,True,1.54,569
299,i5,2.3,intel,8,ddr4,14.0,256,True,1.54,626
300,i5,2.3,intel,8,ddr4,14.0,256,True,1.54,569
301,i5,2.3,intel,8,ddr3,11.0,180,True,1.3,336
302,i3,1.7,intel,4,ddr3,13.0,320,False,1.6,199
303,i3,2.1,intel,8,ddr3,13.0,128,True,1.6,272
304,i3,2.1,intel,8,ddr3,13.0,128,True,1.6,250
305,i5,2.5,intel,4,ddr3,14.0,128,True,2.13,210
306,i5,2.5,intel,8,ddr3,14.0,128,True,2.13,307
307,i5,2.5,intel,8,ddr3,14.0,128,True,2.13,284
308,i5,2.3,intel,8,ddr4,14.0,128,True,1.95,452
309,i5,2.5,intel,8,ddr3,15.0,128,True,2.0,357
310,i5,2.5,intel,8,ddr3,15.0,320,False,2.0,336
311,i5,2.5,intel,8,ddr3,15.0,320,False,2.0,357
312,i5,2.5,intel,8,ddr4,13.0,256,True,1.28,683
313,i5,2.5,intel,8,ddr4,13.0,256,True,1.28,592
314,i7,2.6,firepro,16,ddr3,14.0,180,True,1.78,568
315,i7,2.6,firepro,16,ddr3,14.0,180,True,1.78,536
316,i7,2.5,nvidia,16,ddr3,15.0,256,True,3.46,700
317,i7,2.5,nvidia,16,ddr3,15.0,512,True,3.08,820
318,i7,2.5,nvidia,16,ddr3,15.0,512,True,3.08,768
319,i7,2.5,nvidia,16,ddr3,15.0,512,True,3.08,797
320,i7,2.5,nvidia,32,ddr3,15.0,512,True,3.08,920
321,i7,2.9,nvidia,32,ddr3,15.0,512,True,3.08,968
322,i7,2.6,nvidia,16,ddr4,15.0,256,True,2.62,1130
323,i7,2.6,nvidia,16,ddr4,15.0,256,True,2.62,1070
324,i7,2.6,nvidia,16,ddr4,15.0,512,True,2.62,1253
325,i7,2.6,nvidia,16,ddr4,15.0,512,True,2.62,1160
326,i7,2.6,nvidia,16,ddr4,15.0,512,True,2.62,1230
